user,location,date,coordinates,content
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
AndyVermaut,"Diksmuide, België",2021-02-11 04:01:35,,"Light earthquake 4.1 mag, 93 km SSE of Lethem, Guyana https://t.co/Nop81aQ1rl"
GlobalCaribbean,Canada,2021-02-09 02:36:20,,"By Indranie Deolall

The dry earth was still booming and vibrating in remote southern Guyana on a blazing Sunday afternoon, but across the Atlantic, it was just after 8 p.m.

https://t.co/0Uj7td1Cpy"
loopnewscarib,,2021-02-09 02:00:10,,"The minister dismissed rumours that the earthquake was caused by oil extraction activities in Guyana’s maritime space.
https://t.co/aYJPC4apq4"
cananewsonline2,Barbados,2021-02-08 18:40:28,,New post: GUYANA-EARTHQUAKE-Villagers concerned about safety following earthquake https://t.co/VHr5zFizNj
iNewsGuyana,Georgetown,2021-02-08 16:10:45,,"Minister Benn also rebuffed rumours that the earth’s plate’s shift was caused by the oil extraction activities in Guyana’s maritime space.

“That is completely impossible. If that were the case, we would have lost the seawalls, the city of Georgetown and… https://t.co/nFxPdDfxZH"
CICan_SAGE,"Guyana, Jamaica, Belize, St.Lucia, Grenada and Dominica",2021-02-08 15:13:35,,"Minister of Home Affairs Guyana, conducted an earthquake assessment in the villages of Katoonarib and Sawariwau where residents were considering to abandoning their villages after the January 31 quake.
#SageGuyana
 https://t.co/1RPcvePVu0"
DPI_Guyana,"Georgetown, Guyana ",2021-02-08 15:05:56,,"Minister of Home Affairs, Hon. Robeson Benn has dispelled the fears of residents in the South Rupununi, who were considering abandoning their villages in the wake of the January 31 earthquake which was most pronounced in that area of Guyana.
https://t.co/sgjo97xB9w"
drblagrawal3,,2021-02-08 11:38:18,,"Earthquake Alerts : Earthquakes with magnitude 4.8 to 5.8
 may strike Spain, Iceland, Portugal, Algeria, Guyana, Brazil, Venezuela, Island West of Africa, Rio de Janeiro within February 8th, 2021 to   February 16th, 2021"
PH_AEDD,"Kingston, Jamaica",2021-02-06 22:07:53,,"#environment #LAC #GY - 5.6 #earthquake Upper Takutu-Upper Essequibo Region, Guyana, 139 km east of Boa Vista, Brazil, 31 Jan 2021 3:05 pm (GMT -4) https://t.co/vvNllbEmYf"
PH_AEDD,"Kingston, Jamaica",2021-02-06 21:57:09,,#Environment #GY - Guyana feels tremor from 5.7 magnitude #earthquake in Brazil - @iNewsGuyana  https://t.co/ywALng87k3
seismo_steve,"London, England",2021-02-05 16:16:06,,"Interesting paper for those of you who might be interested in the recent M5.6 (wow, that got downgraded In magnitude A LOT!) earthquake in Guyana https://t.co/axoPdl9mYy"
ExBulletinUk,UK,2021-02-04 21:11:17,,Rare Guyana Earthquake – Stabroek News https://t.co/DZuSRtNk8A
geografiard,Dominican Republic,2021-02-12 13:38:24,,"Wrapped phase interferogram from the M5.6 Jan 31 '2021, Guyana Earthquake generated from Sentinel-1B  (ascending track, Jan 30 - Feb 11). Each fringe (complete color cycle) represents ~ 2.8 cm of ground deformation in the satellite line-of-sight https://t.co/ONqzm5l5kR"
